"","group","strain","indiv","X0","X21","X36","X49","X70"
"1","Grp 1 (B)","B/Brisbane/3/2007","F1304",0,0,0,0,0
"2","Grp 1 (B)","B/Brisbane/3/2007","F1305",0,0,0,0,0
"3","Grp 1 (B)","B/Brisbane/3/2007","F1306",0,0,0,0,0
"4","Grp 2 (B)","B/Brisbane/3/2007","F1307",0,0,0,0,0
"5","Grp 2 (B)","B/Brisbane/3/2007","F1308",0,0,0,0,0
"6","Grp 2 (B)","B/Brisbane/3/2007","F1309",0,0,0,0,0
"7","Grp 3 (B)","B/Brisbane/3/2007","F1313",0,0,0,3,2
"8","Grp 3 (B)","B/Brisbane/3/2007","F1314",0,0,0,0,0
"9","Grp 3 (B)","B/Brisbane/3/2007","F1315",0,0,4,0,0
"10","Grp 4 (B)","B/Brisbane/3/2007","F1310",0,0,4,8,8
"11","Grp 4 (B)","B/Brisbane/3/2007","F1311",0,0,3,9,9
"12","Grp 4 (B)","B/Brisbane/3/2007","F1312",0,0,3,9,5
"13","Grp 5 (B)","B/Brisbane/3/2007","F1316",0,0,2,5,6
"14","Grp 5 (B)","B/Brisbane/3/2007","F1317",0,0,2,6,6
"15","Grp 5 (B)","B/Brisbane/3/2007","F1318",0,0,4,8,8
"16","Grp 1 (B)","B/Malaysia/2506/2004","F1304",0,0,0,0,0
"17","Grp 1 (B)","B/Malaysia/2506/2004","F1305",0,0,0,0,0
"18","Grp 1 (B)","B/Malaysia/2506/2004","F1306",0,0,0,0,0
"19","Grp 2 (B)","B/Malaysia/2506/2004","F1307",0,0,0,0,2
"20","Grp 2 (B)","B/Malaysia/2506/2004","F1308",0,0,0,0,2
"21","Grp 2 (B)","B/Malaysia/2506/2004","F1309",0,0,0,0,0
"22","Grp 3 (B)","B/Malaysia/2506/2004","F1313",0,0,0,0,0
"23","Grp 3 (B)","B/Malaysia/2506/2004","F1314",0,0,0,0,0
"24","Grp 3 (B)","B/Malaysia/2506/2004","F1315",0,0,0,0,0
"25","Grp 4 (B)","B/Malaysia/2506/2004","F1310",0,0,0,6,8
"26","Grp 4 (B)","B/Malaysia/2506/2004","F1311",0,0,0,4,10
"27","Grp 4 (B)","B/Malaysia/2506/2004","F1312",0,0,0,9,9
"28","Grp 5 (B)","B/Malaysia/2506/2004","F1316",0,0,0,4,6
"29","Grp 5 (B)","B/Malaysia/2506/2004","F1317",0,0,0,2,5
"30","Grp 5 (B)","B/Malaysia/2506/2004","F1318",0,0,0,6,9
